The Shawshank Redemption (1994) ,9.3,2h 22min,14 October 1994,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
The Godfather (1972) ,9.2,2h 55min,24 March 1972,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
The Godfather: Part II (1974) ,9.0,3h 22min,2 May 2020,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
The Dark Knight (2008) ,9.0,2h 32min,18 July 2008,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
12 Angry Men (1957) ,9.0,1h 36min,10 April 1957,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.
Schindler's List (1993) ,8.9,3h 15min,15 December 1993,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
The Lord of the Rings: The Return of the King (2003) ,8.9,3h 21min,6 February 2004,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
Pulp Fiction (1994) ,8.9,2h 34min,14 October 1994,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
"Il buono, il brutto, il cattivo (1966) ",8.8,2h 41min,15 April 1969,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
The Lord of the Rings: The Fellowship of the Ring (2001) ,8.8,2h 58min,15 March 2002,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
Fight Club (1999) ,8.8,2h 19min,15 October 1999,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more."
Forrest Gump (1994) ,8.8,2h 22min,12 September 2014,"The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart."
Inception (2010) ,8.8,2h 28min,16 July 2010,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.
The Lord of the Rings: The Two Towers (2002) ,8.7,2h 59min,28 March 2003,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
Star Wars: Episode V - The Empire Strikes Back (1980) ,8.7,2h 4min,10 December 1980,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy."
The Matrix (1999) ,8.7,2h 16min,31 May 2020,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
Goodfellas (1990) ,8.7,2h 26min,31 July 2019,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate."
One Flew Over the Cuckoo's Nest (1975) ,8.7,2h 13min,10 March 1977,"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients."
Shichinin no samurai (1954) ,8.6,3h 27min,26 April 1954,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.
Se7en (1995) ,8.6,2h 7min,22 September 1995,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
La vita è bella (1997) ,8.6,1h 56min,18 September 2000,"When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp."
Cidade de Deus (2002) ,8.6,2h 10min,18 January 2007,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin."
The Silence of the Lambs (1991) ,8.6,1h 58min,14 February 1991,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
It's a Wonderful Life (1946) ,8.6,2h 10min,7 January 1947,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
